A = 5.0990, B = 5.0000, C = 16.0000, EAR = 0.3156 
A = 4.0000, B = 5.0990, C = 17.2627, EAR = 0.2635 
A = 5.0000, B = 4.1231, C = 18.0278, EAR = 0.2530 
A = 5.0990, B = 4.1231, C = 17.2627, EAR = 0.2671 
A = 4.0000, B = 4.1231, C = 18.0278, EAR = 0.2253 
A = 5.0990, B = 4.1231, C = 17.2627, EAR = 0.2671 
A = 5.0000, B = 4.1231, C = 18.0278, EAR = 0.2530 
A = 5.0990, B = 5.0990, C = 17.2627, EAR = 0.2954 
A = 5.0000, B = 4.1231, C = 18.0000, EAR = 0.2534 
A = 4.1231, B = 5.0990, C = 17.1172, EAR = 0.2694 
A = 5.0000, B = 4.0000, C = 18.0278, EAR = 0.2496 
A = 5.0990, B = 5.0000, C = 17.2627, EAR = 0.2925 
A = 5.0990, B = 4.1231, C = 18.0278, EAR = 0.2558 
A = 5.0000, B = 4.1231, C = 18.2483, EAR = 0.2500 
A = 5.0990, B = 4.1231, C = 18.0000, EAR = 0.2562 
A = 4.1231, B = 5.0000, C = 18.1108, EAR = 0.2519 
A = 5.0990, B = 4.1231, C = 18.0278, EAR = 0.2558 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0000, B = 4.0000, C = 17.0294, EAR = 0.2642 
A = 5.0990, B = 5.0990, C = 17.1172, EAR = 0.2979 
A = 5.0000, B = 5.0000, C = 17.0000, EAR = 0.2941 
A = 4.1231, B = 5.0000, C = 17.1172, EAR = 0.2665 
A = 5.0000, B = 5.0000, C = 18.0000, EAR = 0.2778 
A = 4.1231, B = 5.0990, C = 17.2627, EAR = 0.2671 
A = 5.0000, B = 4.0000, C = 17.0000, EAR = 0.2647 
A = 4.1231, B = 5.0990, C = 17.2627, EAR = 0.2671 
A = 5.0000, B = 5.0000, C = 17.0294, EAR = 0.2936 
A = 5.0990, B = 5.0990, C = 18.2483, EAR = 0.2794 
A = 5.0990, B = 5.0990, C = 18.0278, EAR = 0.2828 
