A = 5.0000, B = 5.0990, C = 19.0263, EAR = 0.2654 
A = 5.0990, B = 5.0990, C = 18.1108, EAR = 0.2815 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0990, B = 5.0990, C = 18.1108, EAR = 0.2815 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0990, B = 5.0990, C = 17.1172, EAR = 0.2979 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 5.0990, B = 5.0990, C = 17.1172, EAR = 0.2979 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0990, B = 5.0990, C = 17.1172, EAR = 0.2979 
A = 5.0000, B = 5.0990, C = 19.0263, EAR = 0.2654 
A = 5.0000, B = 6.0828, C = 17.1172, EAR = 0.3237 
A = 5.0990, B = 5.0000, C = 18.1108, EAR = 0.2788 
A = 5.0000, B = 5.0990, C = 17.1172, EAR = 0.2950 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0990, C = 17.0294, EAR = 0.2965 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0000, B = 5.0990, C = 17.1172, EAR = 0.2950 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0990, C = 17.1172, EAR = 0.2950 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 5.0990, B = 5.0000, C = 18.0278, EAR = 0.2801 
A = 5.0000, B = 5.0990, C = 17.1172, EAR = 0.2950 
A = 5.0990, B = 5.0000, C = 18.0000, EAR = 0.2805 
A = 5.0990, B = 5.0990, C = 17.1172, EAR = 0.2979 
A = 4.0000, B = 5.0000, C = 19.0263, EAR = 0.2365 
A = 5.0000, B = 5.0000, C = 17.0294, EAR = 0.2936 
A = 5.0000, B = 5.0000, C = 19.0263, EAR = 0.2628 
A = 5.0000, B = 5.0000, C = 17.1172, EAR = 0.2921 
A = 5.0000, B = 4.0000, C = 19.0263, EAR = 0.2365 
A = 5.0990, B = 5.0990, C = 17.0294, EAR = 0.2994 
A = 5.0000, B = 4.1231, C = 19.0000, EAR = 0.2401 
