A = 4.1231, B = 5.0000, C = 17.0000, EAR = 0.2683 
A = 4.0000, B = 5.0990, C = 17.2627, EAR = 0.2635 
A = 5.0000, B = 5.0000, C = 17.0000, EAR = 0.2941 
A = 5.0990, B = 5.0990, C = 18.2483, EAR = 0.2794 
A = 4.0000, B = 5.0000, C = 18.0278, EAR = 0.2496 
A = 5.0990, B = 4.1231, C = 18.1108, EAR = 0.2546 
A = 4.1231, B = 3.0000, C = 18.0000, EAR = 0.1979 
A = 4.4721, B = 4.1231, C = 19.2354, EAR = 0.2234 
A = 3.0000, B = 3.0000, C = 17.1172, EAR = 0.1753 
A = 4.1231, B = 4.1231, C = 18.4391, EAR = 0.2236 
A = 4.0000, B = 4.1231, C = 17.1172, EAR = 0.2373 
A = 5.0990, B = 4.1231, C = 17.7200, EAR = 0.2602 
A = 4.1231, B = 4.1231, C = 17.0294, EAR = 0.2421 
A = 4.1231, B = 4.1231, C = 17.2627, EAR = 0.2388 
A = 6.0828, B = 6.0000, C = 17.0294, EAR = 0.3548 
A = 7.0711, B = 6.0828, C = 18.2483, EAR = 0.3604 
A = 5.0000, B = 6.0828, C = 18.0278, EAR = 0.3074 
A = 6.0000, B = 5.0990, C = 17.2627, EAR = 0.3215 
A = 5.0000, B = 5.0000, C = 18.0278, EAR = 0.2774 
A = 4.0000, B = 4.0000, C = 17.1172, EAR = 0.2337 
A = 5.0000, B = 4.0000, C = 18.0000, EAR = 0.2500 
A = 5.0990, B = 4.0000, C = 17.2627, EAR = 0.2635 
A = 4.1231, B = 4.1231, C = 17.0294, EAR = 0.2421 
A = 4.0000, B = 4.0000, C = 17.2627, EAR = 0.2317 
A = 4.0000, B = 5.0000, C = 17.1172, EAR = 0.2629 
A = 5.3852, B = 5.3852, C = 18.0278, EAR = 0.2987 
A = 3.0000, B = 3.0000, C = 17.1172, EAR = 0.1753 
A = 3.1623, B = 2.2361, C = 17.7200, EAR = 0.1523 
A = 6.0000, B = 5.0000, C = 18.0278, EAR = 0.3051 
A = 5.0990, B = 5.0990, C = 17.4642, EAR = 0.2920 
A = 4.1231, B = 5.0990, C = 16.1245, EAR = 0.2860 
A = 4.1231, B = 5.0990, C = 16.2788, EAR = 0.2833 
A = 4.0000, B = 4.1231, C = 18.0278, EAR = 0.2253 
A = 4.1231, B = 4.1231, C = 17.2627, EAR = 0.2388 
A = 5.0990, B = 5.0990, C = 19.2354, EAR = 0.2651 
A = 4.1231, B = 5.0990, C = 18.1108, EAR = 0.2546 
A = 4.0000, B = 4.0000, C = 17.0000, EAR = 0.2353 
A = 4.4721, B = 4.1231, C = 17.7200, EAR = 0.2425 
A = 4.0000, B = 4.0000, C = 19.0000, EAR = 0.2105 
A = 5.0990, B = 5.0990, C = 19.2354, EAR = 0.2651 
A = 4.1231, B = 5.0000, C = 19.0263, EAR = 0.2397 
A = 5.0990, B = 5.0990, C = 19.2354, EAR = 0.2651 
A = 4.0000, B = 4.0000, C = 17.0000, EAR = 0.2353 
A = 4.1231, B = 3.1623, C = 17.2627, EAR = 0.2110 
A = 5.0000, B = 4.0000, C = 17.0000, EAR = 0.2647 
A = 5.0000, B = 5.0990, C = 17.2627, EAR = 0.2925 
A = 4.0000, B = 4.0000, C = 17.0000, EAR = 0.2353 
A = 4.1231, B = 5.0000, C = 18.2483, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 17.0294, EAR = 0.2349 
A = 5.0000, B = 5.0990, C = 17.2627, EAR = 0.2925 
A = 4.0000, B = 4.0000, C = 17.0294, EAR = 0.2349 
A = 4.0000, B = 5.0990, C = 17.2627, EAR = 0.2635 
A = 4.0000, B = 4.0000, C = 17.0294, EAR = 0.2349 
A = 5.0990, B = 5.0000, C = 18.2483, EAR = 0.2767 
A = 4.0000, B = 4.0000, C = 17.0294, EAR = 0.2349 
A = 4.0000, B = 5.0990, C = 17.2627, EAR = 0.2635 
A = 4.0000, B = 4.0000, C = 17.0294, EAR = 0.2349 
A = 4.0000, B = 5.0000, C = 18.2483, EAR = 0.2466 
A = 4.0000, B = 4.0000, C = 17.0000, EAR = 0.2353 
A = 4.0000, B = 5.0990, C = 17.2627, EAR = 0.2635 
A = 4.0000, B = 5.0000, C = 17.0294, EAR = 0.2642 
A = 4.0000, B = 5.0000, C = 17.2627, EAR = 0.2607 
A = 4.1231, B = 4.1231, C = 17.0000, EAR = 0.2425 
A = 4.0000, B = 5.0990, C = 17.1172, EAR = 0.2658 
A = 4.1231, B = 4.1231, C = 17.0000, EAR = 0.2425 
A = 4.1231, B = 5.0990, C = 17.2627, EAR = 0.2671 
A = 4.1231, B = 4.1231, C = 17.0294, EAR = 0.2421 
A = 4.0000, B = 5.0990, C = 17.2627, EAR = 0.2635 
A = 4.0000, B = 5.0000, C = 17.0000, EAR = 0.2647 
A = 4.1231, B = 5.0990, C = 17.2627, EAR = 0.2671 
A = 4.0000, B = 5.0990, C = 17.0000, EAR = 0.2676 
A = 4.1231, B = 5.0990, C = 17.2627, EAR = 0.2671 
A = 5.0000, B = 4.0000, C = 17.0000, EAR = 0.2647 
A = 5.0990, B = 4.1231, C = 17.1172, EAR = 0.2694 
A = 5.0000, B = 5.0000, C = 17.0000, EAR = 0.2941 
A = 5.0990, B = 5.0990, C = 17.2627, EAR = 0.2954 
A = 5.0000, B = 4.0000, C = 17.0000, EAR = 0.2647 
A = 4.1231, B = 4.1231, C = 17.1172, EAR = 0.2409 
A = 4.0000, B = 4.0000, C = 17.0000, EAR = 0.2353 
A = 4.1231, B = 4.1231, C = 17.1172, EAR = 0.2409 
A = 4.0000, B = 5.0000, C = 17.0000, EAR = 0.2647 
A = 4.1231, B = 5.0990, C = 17.2627, EAR = 0.2671 
A = 5.0000, B = 4.0000, C = 18.0000, EAR = 0.2500 
A = 5.0990, B = 4.0000, C = 17.1172, EAR = 0.2658 
A = 5.0000, B = 4.0000, C = 18.0000, EAR = 0.2500 
A = 5.0990, B = 4.0000, C = 18.1108, EAR = 0.2512 
A = 5.0000, B = 4.0000, C = 18.0000, EAR = 0.2500 
A = 5.0990, B = 4.0000, C = 18.1108, EAR = 0.2512 
A = 5.0990, B = 4.1231, C = 18.0000, EAR = 0.2562 
A = 5.0990, B = 4.0000, C = 18.2483, EAR = 0.2493 
A = 5.0000, B = 5.0990, C = 17.0294, EAR = 0.2965 
A = 5.0000, B = 5.0990, C = 17.2627, EAR = 0.2925 
A = 5.0990, B = 5.0990, C = 17.0294, EAR = 0.2994 
A = 5.0990, B = 5.0000, C = 17.2627, EAR = 0.2925 
A = 5.0000, B = 5.0990, C = 17.0294, EAR = 0.2965 
A = 5.0990, B = 6.3246, C = 17.2627, EAR = 0.3309 
A = 5.0990, B = 5.0990, C = 17.0294, EAR = 0.2994 
A = 5.0990, B = 6.0000, C = 18.2483, EAR = 0.3041 
A = 5.0990, B = 5.0990, C = 17.0294, EAR = 0.2994 
A = 5.0990, B = 6.0828, C = 17.2627, EAR = 0.3239 
A = 5.0000, B = 5.0990, C = 17.0294, EAR = 0.2965 
A = 5.0990, B = 6.0828, C = 18.2483, EAR = 0.3064 
A = 5.0000, B = 5.0000, C = 17.0294, EAR = 0.2936 
A = 6.0828, B = 6.0828, C = 17.2627, EAR = 0.3524 
A = 5.0000, B = 5.0990, C = 17.0294, EAR = 0.2965 
A = 6.0828, B = 6.0828, C = 18.2483, EAR = 0.3333 
A = 5.0000, B = 5.0990, C = 18.0278, EAR = 0.2801 
A = 6.0828, B = 6.0828, C = 18.2483, EAR = 0.3333 
A = 5.0000, B = 5.0000, C = 16.0312, EAR = 0.3119 
A = 5.0990, B = 6.0828, C = 17.2627, EAR = 0.3239 
A = 6.0000, B = 5.0000, C = 18.0278, EAR = 0.3051 
A = 5.0990, B = 6.0828, C = 18.2483, EAR = 0.3064 
A = 6.0000, B = 5.0000, C = 17.0000, EAR = 0.3235 
A = 5.0000, B = 5.0990, C = 17.2627, EAR = 0.2925 
A = 6.0000, B = 6.0000, C = 17.0000, EAR = 0.3529 
A = 6.0828, B = 5.0990, C = 17.2627, EAR = 0.3239 
A = 6.0000, B = 6.0000, C = 17.0294, EAR = 0.3523 
A = 6.0828, B = 5.0990, C = 16.2788, EAR = 0.3434 
A = 5.0000, B = 6.0000, C = 17.0000, EAR = 0.3235 
A = 6.0828, B = 5.0990, C = 17.2627, EAR = 0.3239 
A = 6.0000, B = 5.0000, C = 17.0294, EAR = 0.3230 
A = 6.0828, B = 5.0990, C = 17.2627, EAR = 0.3239 
A = 5.0000, B = 6.0000, C = 17.0294, EAR = 0.3230 
A = 6.0828, B = 5.0990, C = 17.2627, EAR = 0.3239 
A = 5.0000, B = 6.0000, C = 17.0000, EAR = 0.3235 
A = 6.0828, B = 5.0990, C = 17.2627, EAR = 0.3239 
A = 5.0000, B = 4.0000, C = 17.0294, EAR = 0.2642 
A = 4.1231, B = 5.0990, C = 17.4642, EAR = 0.2640 
A = 3.0000, B = 3.0000, C = 17.0000, EAR = 0.1765 
A = 3.1623, B = 2.2361, C = 17.2627, EAR = 0.1564 
A = 3.0000, B = 2.0000, C = 18.0000, EAR = 0.1389 
