A = 6.0000, B = 6.0828, C = 21.0238, EAR = 0.2874 
A = 5.0000, B = 5.0000, C = 21.0238, EAR = 0.2378 
A = 6.0000, B = 7.0000, C = 19.0263, EAR = 0.3416 
A = 7.2801, B = 7.0711, C = 21.5870, EAR = 0.3324 
A = 5.0000, B = 5.0000, C = 21.0000, EAR = 0.2381 
A = 5.0990, B = 5.0990, C = 22.5610, EAR = 0.2260 
A = 6.0000, B = 5.0000, C = 20.0000, EAR = 0.2750 
A = 5.3852, B = 6.0828, C = 21.3776, EAR = 0.2682 
A = 6.0000, B = 6.0000, C = 21.0238, EAR = 0.2854 
A = 5.3852, B = 6.0828, C = 21.3776, EAR = 0.2682 
A = 6.0000, B = 5.0000, C = 20.0250, EAR = 0.2747 
A = 5.0990, B = 6.0828, C = 21.3776, EAR = 0.2615 
A = 4.0000, B = 4.0000, C = 20.0000, EAR = 0.2000 
A = 4.1231, B = 4.0000, C = 21.2132, EAR = 0.1915 
A = 2.2361, B = 3.1623, C = 21.0000, EAR = 0.1285 
A = 3.1623, B = 2.0000, C = 20.2237, EAR = 0.1276 
A = 2.0000, B = 3.0000, C = 22.0000, EAR = 0.1136 
A = 3.1623, B = 2.0000, C = 21.2132, EAR = 0.1217 
A = 2.0000, B = 3.0000, C = 21.0000, EAR = 0.1190 
A = 2.2361, B = 2.2361, C = 20.3961, EAR = 0.1096 
A = 3.0000, B = 3.0000, C = 21.0000, EAR = 0.1429 
A = 3.1623, B = 3.0000, C = 20.2237, EAR = 0.1524 
A = 4.0000, B = 3.0000, C = 20.0000, EAR = 0.1750 
A = 4.1231, B = 4.0000, C = 20.2237, EAR = 0.2008 
A = 4.0000, B = 4.0000, C = 20.0000, EAR = 0.2000 
A = 4.4721, B = 4.0000, C = 21.2132, EAR = 0.1997 
A = 5.0000, B = 5.0000, C = 21.0000, EAR = 0.2381 
A = 5.0990, B = 5.0990, C = 20.2237, EAR = 0.2521 
A = 5.0000, B = 5.0000, C = 20.0250, EAR = 0.2497 
A = 5.0990, B = 5.0000, C = 21.3776, EAR = 0.2362 
A = 5.0000, B = 5.0000, C = 20.0000, EAR = 0.2500 
A = 6.0828, B = 5.0990, C = 21.2132, EAR = 0.2636 
A = 5.0000, B = 6.0000, C = 20.0250, EAR = 0.2747 
A = 6.0828, B = 5.0990, C = 20.2237, EAR = 0.2765 
A = 5.0990, B = 4.1231, C = 20.0250, EAR = 0.2303 
A = 5.0990, B = 5.0990, C = 20.3961, EAR = 0.2500 
A = 5.0000, B = 4.0000, C = 20.0250, EAR = 0.2247 
A = 5.3852, B = 5.0000, C = 20.6155, EAR = 0.2519 
A = 5.0000, B = 5.0990, C = 20.0000, EAR = 0.2525 
A = 6.0828, B = 5.0990, C = 20.3961, EAR = 0.2741 
A = 5.0000, B = 5.0000, C = 20.0000, EAR = 0.2500 
A = 5.0990, B = 5.0990, C = 20.3961, EAR = 0.2500 
A = 5.0990, B = 5.0000, C = 20.0250, EAR = 0.2522 
A = 5.3852, B = 5.0000, C = 20.3961, EAR = 0.2546 
A = 5.0000, B = 5.0000, C = 20.0250, EAR = 0.2497 
A = 5.0990, B = 5.0000, C = 21.3776, EAR = 0.2362 
A = 5.0000, B = 5.0990, C = 21.0000, EAR = 0.2405 
A = 5.0990, B = 5.0990, C = 20.2237, EAR = 0.2521 
A = 5.0000, B = 5.0000, C = 20.0250, EAR = 0.2497 
A = 6.3246, B = 6.0828, C = 21.3776, EAR = 0.2902 
A = 5.0000, B = 5.0990, C = 21.0000, EAR = 0.2405 
