A = 3.0000, B = 2.0000, C = 16.0312, EAR = 0.1559 
A = 3.1623, B = 3.0000, C = 15.0333, EAR = 0.2050 
A = 3.0000, B = 3.0000, C = 15.0333, EAR = 0.1996 
A = 3.0000, B = 3.0000, C = 15.0000, EAR = 0.2000 
A = 3.0000, B = 3.0000, C = 16.0312, EAR = 0.1871 
A = 3.0000, B = 3.0000, C = 16.0000, EAR = 0.1875 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.1231, B = 4.0000, C = 15.0333, EAR = 0.2702 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.1231, B = 4.0000, C = 15.0333, EAR = 0.2702 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.1231, C = 16.0312, EAR = 0.2534 
A = 4.0000, B = 5.0000, C = 16.0312, EAR = 0.2807 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.1231, C = 16.0000, EAR = 0.2538 
A = 5.0000, B = 4.0000, C = 15.0000, EAR = 0.3000 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.1231, B = 4.0000, C = 15.0333, EAR = 0.2702 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 5.0000, B = 4.0000, C = 16.0312, EAR = 0.2807 
A = 5.0000, B = 4.1231, C = 15.0000, EAR = 0.3041 
A = 4.0000, B = 4.1231, C = 16.0312, EAR = 0.2534 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.1231, B = 4.0000, C = 15.0333, EAR = 0.2702 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 5.0000, B = 4.1231, C = 16.0312, EAR = 0.2845 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 5.0000, B = 4.0000, C = 15.0333, EAR = 0.2993 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 5.0000, C = 16.0312, EAR = 0.2807 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 5.0000, B = 4.1231, C = 16.0312, EAR = 0.2845 
A = 4.0000, B = 5.0000, C = 15.0333, EAR = 0.2993 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.1231, C = 15.0000, EAR = 0.2708 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 5.0000, C = 16.0312, EAR = 0.2807 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 5.0990, B = 4.0000, C = 16.0312, EAR = 0.2838 
A = 4.0000, B = 5.0000, C = 15.0000, EAR = 0.3000 
A = 4.0000, B = 5.0000, C = 16.0000, EAR = 0.2812 
A = 4.0000, B = 5.0000, C = 16.0000, EAR = 0.2812 
A = 4.0000, B = 5.0000, C = 16.0000, EAR = 0.2812 
A = 4.1231, B = 5.0000, C = 16.0000, EAR = 0.2851 
A = 5.0000, B = 5.0000, C = 16.0000, EAR = 0.3125 
A = 4.0000, B = 5.0990, C = 15.0333, EAR = 0.3026 
A = 5.0000, B = 4.1231, C = 16.0312, EAR = 0.2845 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.1231, C = 15.0333, EAR = 0.2702 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 4.0000, B = 5.0000, C = 16.0312, EAR = 0.2807 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 5.0000, B = 4.0000, C = 16.0000, EAR = 0.2812 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 5.0000, B = 5.0000, C = 16.0312, EAR = 0.3119 
A = 4.0000, B = 4.1231, C = 15.0000, EAR = 0.2708 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.1231, B = 4.0000, C = 15.0000, EAR = 0.2708 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 5.0990, B = 4.0000, C = 15.0333, EAR = 0.3026 
A = 5.0000, B = 4.0000, C = 16.0000, EAR = 0.2812 
A = 4.0000, B = 4.1231, C = 16.0312, EAR = 0.2534 
A = 4.0000, B = 5.0000, C = 15.0333, EAR = 0.2993 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 5.0000, C = 15.0333, EAR = 0.2993 
A = 4.1231, B = 4.0000, C = 15.0000, EAR = 0.2708 
A = 5.0000, B = 4.0000, C = 15.0000, EAR = 0.3000 
A = 5.0000, B = 4.0000, C = 15.0333, EAR = 0.2993 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.1231, C = 16.0000, EAR = 0.2538 
A = 4.0000, B = 4.0000, C = 15.0000, EAR = 0.2667 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 4.0000, B = 5.0000, C = 16.0312, EAR = 0.2807 
A = 4.1231, B = 4.0000, C = 15.0333, EAR = 0.2702 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 5.0000, B = 5.0990, C = 16.0312, EAR = 0.3150 
A = 4.0000, B = 5.0000, C = 16.0312, EAR = 0.2807 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 5.0990, B = 5.0000, C = 15.0333, EAR = 0.3359 
A = 5.0000, B = 4.0000, C = 16.0000, EAR = 0.2812 
A = 5.0000, B = 4.0000, C = 16.0312, EAR = 0.2807 
A = 4.0000, B = 5.0000, C = 15.0333, EAR = 0.2993 
A = 4.1231, B = 4.0000, C = 15.0333, EAR = 0.2702 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.1231, B = 4.0000, C = 15.0000, EAR = 0.2708 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.1231, C = 16.0312, EAR = 0.2534 
A = 4.0000, B = 4.0000, C = 15.0333, EAR = 0.2661 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 5.0000, B = 4.0000, C = 16.0000, EAR = 0.2812 
A = 5.0000, B = 4.1231, C = 16.0312, EAR = 0.2845 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 4.1231, B = 4.0000, C = 15.0000, EAR = 0.2708 
A = 4.0000, B = 4.0000, C = 16.0312, EAR = 0.2495 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.1231, C = 16.0312, EAR = 0.2534 
A = 5.0990, B = 4.0000, C = 16.0000, EAR = 0.2843 
A = 4.1231, B = 4.0000, C = 15.0333, EAR = 0.2702 
A = 4.1231, B = 4.0000, C = 16.0000, EAR = 0.2538 
A = 4.0000, B = 4.1231, C = 16.0312, EAR = 0.2534 
A = 4.0000, B = 4.0000, C = 16.0000, EAR = 0.2500 
A = 4.0000, B = 4.1231, C = 16.0312, EAR = 0.2534 
A = 5.0000, B = 4.0000, C = 15.0000, EAR = 0.3000 
A = 4.0000, B = 4.1231, C = 16.0312, EAR = 0.2534 
