A = 4.0000, B = 3.1623, C = 18.0278, EAR = 0.1986 
A = 4.0000, B = 3.0000, C = 21.0950, EAR = 0.1659 
A = 4.0000, B = 4.1231, C = 21.0950, EAR = 0.1925 
A = 4.0000, B = 4.0000, C = 20.0250, EAR = 0.1998 
A = 4.1231, B = 5.0000, C = 21.2132, EAR = 0.2150 
A = 4.1231, B = 4.0000, C = 21.0238, EAR = 0.1932 
A = 4.1231, B = 4.0000, C = 22.2036, EAR = 0.1829 
A = 4.0000, B = 5.0000, C = 21.0238, EAR = 0.2140 
A = 4.1231, B = 4.0000, C = 21.2132, EAR = 0.1915 
A = 5.0000, B = 5.0000, C = 21.0238, EAR = 0.2378 
A = 4.0000, B = 4.1231, C = 21.2132, EAR = 0.1915 
A = 5.0000, B = 4.0000, C = 21.0950, EAR = 0.2133 
A = 5.0990, B = 5.0000, C = 22.2036, EAR = 0.2274 
A = 5.0000, B = 4.0000, C = 21.0950, EAR = 0.2133 
A = 4.0000, B = 4.1231, C = 21.2132, EAR = 0.1915 
A = 4.0000, B = 4.0000, C = 21.0950, EAR = 0.1896 
A = 5.0990, B = 4.0000, C = 22.2036, EAR = 0.2049 
A = 5.0000, B = 5.0000, C = 21.0238, EAR = 0.2378 
A = 4.1231, B = 4.1231, C = 21.2132, EAR = 0.1944 
A = 6.0828, B = 5.0000, C = 21.0238, EAR = 0.2636 
A = 5.0990, B = 5.0000, C = 21.2132, EAR = 0.2380 
A = 5.0990, B = 5.0990, C = 21.0950, EAR = 0.2417 
A = 5.0990, B = 5.0990, C = 22.2036, EAR = 0.2296 
A = 5.0990, B = 5.0990, C = 22.2036, EAR = 0.2296 
A = 5.0990, B = 5.0000, C = 21.0950, EAR = 0.2394 
A = 6.0000, B = 5.0000, C = 21.2132, EAR = 0.2593 
A = 4.1231, B = 4.1231, C = 20.2237, EAR = 0.2039 
A = 6.0000, B = 5.0000, C = 21.2132, EAR = 0.2593 
A = 5.0990, B = 5.0990, C = 21.2132, EAR = 0.2404 
A = 6.0828, B = 5.0000, C = 22.2036, EAR = 0.2496 
A = 5.0000, B = 4.0000, C = 21.0950, EAR = 0.2133 
A = 5.0990, B = 5.0000, C = 21.0950, EAR = 0.2394 
A = 4.0000, B = 5.0000, C = 21.0950, EAR = 0.2133 
A = 5.0990, B = 5.0000, C = 20.2237, EAR = 0.2497 
A = 4.1231, B = 4.0000, C = 22.2036, EAR = 0.1829 
A = 6.0828, B = 5.0000, C = 22.2036, EAR = 0.2496 
A = 5.0000, B = 5.0990, C = 21.2132, EAR = 0.2380 
A = 5.0990, B = 5.0000, C = 22.0907, EAR = 0.2286 
A = 5.0000, B = 5.0990, C = 21.0950, EAR = 0.2394 
A = 5.0990, B = 5.0000, C = 23.1948, EAR = 0.2177 
A = 5.0000, B = 5.0990, C = 21.0950, EAR = 0.2394 
A = 5.0000, B = 5.0990, C = 21.0950, EAR = 0.2394 
A = 5.0990, B = 5.0000, C = 21.2132, EAR = 0.2380 
A = 5.0000, B = 5.0990, C = 21.2132, EAR = 0.2380 
A = 4.1231, B = 4.0000, C = 22.0907, EAR = 0.1839 
A = 4.1231, B = 5.0000, C = 22.0907, EAR = 0.2065 
A = 4.0000, B = 4.0000, C = 22.0907, EAR = 0.1811 
A = 4.0000, B = 5.0000, C = 21.0950, EAR = 0.2133 
A = 4.1231, B = 5.0990, C = 21.0950, EAR = 0.2186 
A = 5.0990, B = 6.0000, C = 22.0907, EAR = 0.2512 
A = 4.0000, B = 4.1231, C = 21.0950, EAR = 0.1925 
A = 5.0000, B = 5.0000, C = 22.0907, EAR = 0.2263 
A = 4.1231, B = 5.0000, C = 21.0950, EAR = 0.2162 
A = 5.0000, B = 6.0000, C = 22.0907, EAR = 0.2490 
A = 5.0990, B = 6.0828, C = 21.2132, EAR = 0.2636 
A = 6.0000, B = 5.0990, C = 21.2132, EAR = 0.2616 
A = 5.0000, B = 6.0828, C = 20.0998, EAR = 0.2757 
A = 6.0828, B = 6.0000, C = 22.2036, EAR = 0.2721 
A = 5.0990, B = 5.0990, C = 21.2132, EAR = 0.2404 
